id,denekId,sayac,yatirim,rakip,secim,secimsure,kazanc,toplam,PE_raw,V_value,PE_normalized,group
4105,10088,57,1,1,1,749,60,2380,2.4233429792723555,3.5766570207276445,0.3539916696059951,0
4106,10088,58,1,0,1,484,0,2380,-3.6524415648067072,3.6524415648067072,-1.7219244705826606,0
4107,10088,59,1,1,1,749,60,2440,2.461780244129066,3.538219755870934,0.3671245478247447,0
4108,10089,0,1,1,1,2574,60,60,5.0,1.0,2.088547220074513,0
4109,10089,1,1,1,1,982,60,120,3.5822727272727275,2.4177272727272725,1.3906002114947116,0
4110,10089,2,1,1,1,1950,60,180,2.566535578512397,3.433464421487603,0.8905529047113103,0
4111,10089,3,1,1,1,2168,60,240,1.8388060812960187,4.161193918703981,0.532291738824039,0
4112,10089,4,1,1,1,201157348,60,300,1.3174209751539934,4.682579024846007,0.27561389806425846,0
4113,10089,5,1,1,1,1062,60,360,0.9438722459262383,5.056127754073762,0.0917158923344555,0
4114,10089,6,1,1,1,952,60,420,0.6762415609222439,5.323758439077756,-0.04003866977068793,0
4115,10089,7,1,1,1,1078,60,480,0.48449634014801823,5.515503659851982,-0.13443482467529122,0
4116,10089,8,1,0,1,1233,0,480,-5.6528803948448605,5.6528803948448605,-3.155864838132876,0
4117,10089,9,1,1,1,1295,60,540,1.9499681462025134,4.050031853797487,0.5870168133581498,0
4118,10089,10,1,1,1,1279,60,600,1.3970635418383646,4.602936458161635,0.31482192646456086,0
4119,10089,11,1,1,1,967,60,660,1.0009325248389231,4.999067475161077,0.11980666250016327,0
4120,10089,12,1,1,1,1295,60,720,0.7171226571141416,5.282877342885858,-0.019912909800147406,0
4121,10089,13,1,1,1,1326,60,780,0.5137857873378682,5.486214212662132,-0.12001563246367017,0
4122,10089,14,1,0,1,1342,0,780,-5.631895837271842,5.631895837271842,-3.1455341423310776,0
4123,10089,15,1,1,1,608,60,840,1.9650026278600556,4.034997372139944,0.5944182873230568,0
4124,10089,16,1,1,1,1045,60,900,1.407835064560464,4.592164935439536,0.32012474612978215,0
4125,10089,17,1,0,1,874,0,900,-4.991350168745362,4.991350168745362,-2.8301935674497143,0
4126,10089,18,1,0,1,1123,0,900,-3.576075516352928,3.576075516352928,-2.1334539836396917,0
4127,10089,19,0,1,1,843,20,920,-0.5620955585797658,2.562095558579766,-0.6496719220866426,0
4128,10089,20,1,0,1,1451,0,920,-2.562095558579766,2.562095558579766,-1.634271741820893,0
4129,10089,21,0,1,1,468,20,940,0.1643749911666239,1.835625008833376,-0.29203053592537415,0
4130,10089,22,0,1,1,764,20,960,0.1643749911666239,1.835625008833376,-0.29203053592537415,0
4131,10089,23,0,1,1,826,20,980,0.1643749911666239,1.835625008833376,-0.29203053592537415,0
4132,10089,24,1,0,1,624,0,980,-1.835625008833376,1.835625008833376,-1.2766303556596243,0
4133,10089,25,1,0,1,764,0,980,-1.3151418813287126,1.3151418813287126,-1.0203965589017192,0
4134,10089,26,0,1,1,201704597,20,1000,1.0577606212044013,0.9422393787955986,0.14778312921880846,0
4135,10089,27,0,1,1,201727357,20,1020,1.0577606212044013,0.9422393787955986,0.14778312921880846,0
4136,10089,28,0,1,1,904,20,1040,1.0577606212044013,0.9422393787955986,0.14778312921880846,0
4137,10089,29,0,1,1,734,20,1060,1.0577606212044013,0.9422393787955986,0.14778312921880846,0
4138,10089,30,1,0,1,936,0,1060,-0.9422393787955986,0.9422393787955986,-0.8368166905154418,0
4139,10089,31,0,1,1,686,20,1080,1.324928314155626,0.6750716858443739,0.2793097603781042,0
4140,10089,32,0,1,1,780,20,1100,1.324928314155626,0.6750716858443739,0.2793097603781042,0
4141,10089,33,0,1,1,967,20,1120,1.324928314155626,0.6750716858443739,0.2793097603781042,0
4142,10089,34,0,1,1,1622,20,1140,1.324928314155626,0.6750716858443739,0.2793097603781042,0
4143,10089,35,0,1,1,967,20,1160,1.324928314155626,0.6750716858443739,0.2793097603781042,0
4144,10089,36,0,1,1,1014,20,1180,1.324928314155626,0.6750716858443739,0.2793097603781042,0
4145,10089,37,0,1,1,905,20,1200,1.324928314155626,0.6750716858443739,0.2793097603781042,0
4146,10089,38,0,1,1,843,20,1220,1.324928314155626,0.6750716858443739,0.2793097603781042,0
4147,10089,39,1,0,1,811,0,1220,-0.6750716858443739,0.6750716858443739,-0.7052900593561461,0
4148,10089,40,0,1,1,905,20,1240,1.5163418221691354,0.4836581778308647,0.373542613120505,0
4149,10089,41,0,1,1,1747,20,1260,1.5163418221691354,0.4836581778308647,0.373542613120505,0
4150,10089,42,0,1,1,765,20,1280,1.5163418221691354,0.4836581778308647,0.373542613120505,0
4151,10089,43,0,1,1,858,20,1300,1.5163418221691354,0.4836581778308647,0.373542613120505,0
4152,10089,44,0,1,1,1763,20,1320,1.5163418221691354,0.4836581778308647,0.373542613120505,0
4153,10089,45,0,1,1,1373,20,1340,1.5163418221691354,0.4836581778308647,0.373542613120505,0
4154,10089,46,0,1,1,2200,20,1360,1.5163418221691354,0.4836581778308647,0.373542613120505,0
4155,10089,47,0,1,1,1030,20,1380,1.5163418221691354,0.4836581778308647,0.373542613120505,0
4156,10089,48,0,1,1,905,20,1400,1.5163418221691354,0.4836581778308647,0.373542613120505,0
4157,10089,49,0,1,1,593,20,1420,1.5163418221691354,0.4836581778308647,0.373542613120505,0
4158,10089,50,0,1,1,905,20,1440,1.5163418221691354,0.4836581778308647,0.373542613120505,0
4159,10089,51,0,1,1,671,20,1460,1.5163418221691354,0.4836581778308647,0.373542613120505,0
4160,10089,52,0,1,1,842,20,1480,1.5163418221691354,0.4836581778308647,0.373542613120505,0
4161,10089,53,0,1,1,1637,20,1500,1.5163418221691354,0.4836581778308647,0.373542613120505,0
4162,10089,54,0,1,1,1342,20,1520,1.5163418221691354,0.4836581778308647,0.373542613120505,0
4163,10089,55,0,1,1,998,20,1540,1.5163418221691354,0.4836581778308647,0.373542613120505,0
4164,10089,56,1,1,1,733,60,1600,5.516341822169135,0.4836581778308647,2.3427422525890056,0
4165,10089,57,0,1,1,1030,20,1620,-0.0477918272259128,2.047791827225913,-0.39648024149681466,0
4166,10089,58,1,1,1,1139,60,1680,3.952208172774087,2.047791827225913,1.5727193979716858,0
4167,10089,59,0,1,1,2637,20,1700,-1.1684224900334015,3.1684224900334015,-0.948166615791278,0
4168,10090,0,1,1,1,1014,60,60,5.0,1.0,1.3332234086850465,0
4169,10090,1,1,1,1,1419,60,120,0.0,6.0,-0.247673913866392,0
4170,10090,2,1,1,1,2137,60,180,0.0,6.0,-0.247673913866392,0
4171,10090,3,1,1,1,1466,60,240,0.0,6.0,-0.247673913866392,0
4172,10090,4,1,1,1,1560,60,300,0.0,6.0,-0.247673913866392,0
4173,10090,5,1,0,1,1373,0,300,-6.0,6.0,-2.144750700928118,0
4174,10090,6,1,1,1,1154,60,360,6.0,0.0,1.649402873195334,0
4175,10090,7,1,0,1,1482,0,360,-6.0,6.0,-2.144750700928118,0
4176,10090,8,1,1,1,952,60,420,6.0,0.0,1.649402873195334,0
4177,10090,9,1,1,1,1092,60,480,0.0,6.0,-0.247673913866392,0
4178,10090,10,1,1,1,1872,60,540,0.0,6.0,-0.247673913866392,0
4179,10090,11,1,0,1,1716,0,540,-6.0,6.0,-2.144750700928118,0
4180,10090,12,1,0,1,1731,0,540,0.0,0.0,-0.247673913866392,0
4181,10090,13,1,1,1,1482,60,600,6.0,0.0,1.649402873195334,0
4182,10090,14,1,1,1,1919,60,660,0.0,6.0,-0.247673913866392,0
4183,10090,15,1,1,1,1919,60,720,0.0,6.0,-0.247673913866392,0
4184,10090,16,1,0,1,1186,0,720,-6.0,6.0,-2.144750700928118,0
4185,10090,17,1,1,1,1966,60,780,6.0,0.0,1.649402873195334,0
4186,10090,18,1,1,1,1154,60,840,0.0,6.0,-0.247673913866392,0
4187,10090,19,1,1,1,1436,60,900,0.0,6.0,-0.247673913866392,0
4188,10090,20,1,0,1,1420,0,900,-6.0,6.0,-2.144750700928118,0
4189,10090,21,0,1,1,2933,20,920,2.0,0.0,0.38468501515418335,0
